Soltu.DM.01G001990.v6.1	2711	6	2705
Soltu.DM.01G002000.v6.1	0	0	0
Soltu.DM.01G002010.v6.1	17	0	17
Soltu.DM.01G002020.v6.1	0	0	0
Soltu.DM.01G002050.v6.1	32	0	32
Soltu.DM.01G002060.v6.1	114	0	114
Soltu.DM.01G002070.v6.1	126	0	126
Soltu.DM.01G002080.v6.1	1047	1	1046
Soltu.DM.01G002090.v6.1	133	6	127
Soltu.DM.01G002140.v6.1	627	0	627
Soltu.DM.01G002150.v6.1	489	2	487
Soltu.DM.01G002180.v6.1	2	0	2
Soltu.DM.01G002190.v6.1	1	0	1
Soltu.DM.01G002210.v6.1	6	0	6
Soltu.DM.01G002220.v6.1	0	0	0
Soltu.DM.01G002230.v6.1	0	0	0
Soltu.DM.01G002240.v6.1	259	0	259
Soltu.DM.01G002270.v6.1	0	0	0
Soltu.DM.01G002280.v6.1	10	0	10
Soltu.DM.01G002290.v6.1	340	221	119
Soltu.DM.01G002310.v6.1	38	0	38
Soltu.DM.01G002330.v6.1	1	1	0
Soltu.DM.01G002340.v6.1	12	0	12
Soltu.DM.01G002350.v6.1	26	0	26
Soltu.DM.01G002360.v6.1	7	0	7
Soltu.DM.01G002370.v6.1	81	1	80
Soltu.DM.01G002380.v6.1	72	0	72
Soltu.DM.01G002390.v6.1	30	0	30
Soltu.DM.01G002400.v6.1	242	0	242
Soltu.DM.01G002430.v6.1	44	0	44
Soltu.DM.01G002470.v6.1	47	0	47
Soltu.DM.01G002490.v6.1	289	0	289
Soltu.DM.01G002500.v6.1	42	0	42
Soltu.DM.01G002510.v6.1	247	0	247
Soltu.DM.01G002520.v6.1	126	0	126
Soltu.DM.01G002530.v6.1	0	0	0
Soltu.DM.01G002540.v6.1	2	0	2
Soltu.DM.01G002550.v6.1	21	0	21
Soltu.DM.01G002560.v6.1	81	0	81
Soltu.DM.01G002580.v6.1	165	0	165
Soltu.DM.01G002590.v6.1	112	0	112
Soltu.DM.01G002600.v6.1	0	0	0
Soltu.DM.01G002610.v6.1	342	0	342
Soltu.DM.01G002650.v6.1	73	0	73
Soltu.DM.01G002660.v6.1	188	0	188
Soltu.DM.01G002670.v6.1	40	0	40
Soltu.DM.01G002680.v6.1	138	0	138
Soltu.DM.01G002690.v6.1	176	0	176
Soltu.DM.01G002710.v6.1	152	0	152
Soltu.DM.01G002720.v6.1	153	0	153
Soltu.DM.01G002830.v6.1	0	0	0
Soltu.DM.01G002840.v6.1	35	0	35
Soltu.DM.01G002850.v6.1	534	16	518
Soltu.DM.01G002900.v6.1	628	0	628
Soltu.DM.01G002910.v6.1	2246	0	2246
Soltu.DM.01G002920.v6.1	104	0	104
Soltu.DM.01G002930.v6.1	276	0	276
Soltu.DM.01G002940.v6.1	17	0	17
Soltu.DM.01G002950.v6.1	164	0	164
Soltu.DM.01G002970.v6.1	118	0	118
Soltu.DM.01G002980.v6.1	24	0	24
Soltu.DM.01G002990.v6.1	15	0	15
Soltu.DM.01G003000.v6.1	52	0	52
Soltu.DM.01G003010.v6.1	4	0	4
Soltu.DM.01G003040.v6.1	1277	2	1275
Soltu.DM.01G003050.v6.1	82	0	82
Soltu.DM.01G003080.v6.1	30	0	30
Soltu.DM.01G003090.v6.1	11	0	11
Soltu.DM.01G003110.v6.1	8	0	8
Soltu.DM.01G003120.v6.1	250	0	250
Soltu.DM.01G003130.v6.1	622	0	622
Soltu.DM.01G003140.v6.1	68	1	68
Soltu.DM.01G003160.v6.1	41	32	9
Soltu.DM.01G003180.v6.1	26	0	26
Soltu.DM.01G003190.v6.1	43	0	43
Soltu.DM.01G003200.v6.1	10	0	10
Soltu.DM.01G003220.v6.1	138	0	138
Soltu.DM.01G003250.v6.1	1957	0	1957
Soltu.DM.01G003260.v6.1	18	0	18
Soltu.DM.01G003270.v6.1	72	0	72
Soltu.DM.01G003280.v6.1	299	0	299
Soltu.DM.01G003290.v6.1	4	0	4
Soltu.DM.01G003300.v6.1	95	0	96
Soltu.DM.01G003320.v6.1	450	1	449
Soltu.DM.01G003330.v6.1	45	0	45
Soltu.DM.01G003350.v6.1	389	0	389
Soltu.DM.01G003360.v6.1	16	0	16
Soltu.DM.01G003420.v6.1	13	0	13
Soltu.DM.01G003430.v6.1	3	0	3
Soltu.DM.01G003440.v6.1	11	0	11
Soltu.DM.01G003470.v6.1	7	0	7
Soltu.DM.01G003490.v6.1	75	0	75
Soltu.DM.01G003500.v6.1	6	0	6
Soltu.DM.01G003510.v6.1	78	1	77
Soltu.DM.01G003520.v6.1	2577	3	2574
Soltu.DM.01G003540.v6.1	211	0	211
Soltu.DM.01G003550.v6.1	516	0	516
Soltu.DM.01G003570.v6.1	0	0	0
Soltu.DM.01G003580.v6.1	87	0	87
Soltu.DM.01G003590.v6.1	303	18	285
Soltu.DM.01G003620.v6.1	627	1	626
Soltu.DM.01G003630.v6.1	2685	3	2682
Soltu.DM.01G003660.v6.1	89	0	89
Soltu.DM.01G003670.v6.1	214	0	214
Soltu.DM.01G003690.v6.1	32	1	31
Soltu.DM.01G003700.v6.1	0	0	0
Soltu.DM.01G003710.v6.1	183	0	183
Soltu.DM.01G003720.v6.1	29	0	29
Soltu.DM.01G003830.v6.1	151	0	151
Soltu.DM.01G003840.v6.1	45	0	45
Soltu.DM.01G003850.v6.1	136	0	136
Soltu.DM.01G003860.v6.1	258	0	258
Soltu.DM.01G003870.v6.1	91	0	91
Soltu.DM.01G003880.v6.1	0	0	0
Soltu.DM.01G003890.v6.1	344	0	344
Soltu.DM.01G003900.v6.1	39	0	39
Soltu.DM.01G003910.v6.1	35	0	35
Soltu.DM.01G003960.v6.1	183	0	183
Soltu.DM.01G003970.v6.1	232	0	232
Soltu.DM.01G004100.v6.1	3	0	3
Soltu.DM.01G004150.v6.1	0	0	0
Soltu.DM.01G004170.v6.1	0	0	0
Soltu.DM.01G004200.v6.1	0	0	0
Soltu.DM.01G004220.v6.1	0	0	0
Soltu.DM.01G004330.v6.1	0	0	0
Soltu.DM.01G004340.v6.1	0	0	0
Soltu.DM.01G004410.v6.1	1	0	1
Soltu.DM.01G004540.v6.1	0	0	0
Soltu.DM.01G004560.v6.1	6	0	6
Soltu.DM.01G004570.v6.1	63	0	63
Soltu.DM.01G004620.v6.1	25	0	25
Soltu.DM.01G004650.v6.1	91	0	91
Soltu.DM.01G004710.v6.1	0	0	0
Soltu.DM.01G004730.v6.1	5	0	5
Soltu.DM.01G004740.v6.1	4	0	4
Soltu.DM.01G004780.v6.1	9	0	9
Soltu.DM.01G004800.v6.1	0	0	0
Soltu.DM.01G004820.v6.1	8	0	8
Soltu.DM.01G004830.v6.1	4	0	4
Soltu.DM.01G004840.v6.1	0	0	0
